Lesson ID;Sentence ID;Category;Chinese;Pinyin;English;Italian;French;Spanish;German;;Greek;Indonesian;;Japanese;Korean;Nederlands;Brazilian;Russian;;Turkish;Ukrainian;Arabic;;;;;;;
13;4;;她不是我。;Tā bú shì wǒ.;She is not me.;Lei non sono io.;Elle n'est pas moi.;Ella no soy yo.;Sie ist nicht ich.;;;;;;;;;;;;;;;;;;;;
13;5;;他还没来。;Tā hái méi lái.;He still hasn’t come.;Lui non è ancora venuto.;Il n'est pas encore venu.;Él aún no ha venido.;Er ist noch nicht gekommen.;;;;;;;;;;;;;;;;;;;;
13;6;;这个月很忙。;Zhège yuè hěn máng.;This month is busy.;Questo mese è impegnativo.;Ce mois-ci est chargé.;Este mes está ocupado.;Dieser Monat ist beschäftigt.;;;;;;;;;;;;;;;;;;;;
13;7;;举手！;Jǔ shǒu!;Raise your hand!;Alza la mano!;Levez la main !;¡Levanta la mano!;Hebe die Hand!;;;;;;;;;;;;;;;;;;;;
14;1;Words;快;kuài;"fast; quickly";"veloce; rapidamente";"rapide; rapidement";"rápido; rápidamente";"schnell; rasch";;;;;;;;;;;;;;;;;;;;
14;2;;死;sǐ;to die;morire;mourir;morir;sterben;;;;;;;;;;;;;;;;;;;;
14;3;;与;yǔ;"with; and";"con; e";"avec; et";"con; y";"mit; und";;;;;;;;;;;;;;;;;;;;
14;4;;而;ér;"but; while";"ma; mentre";"mais; tandis que";"pero; mientras";"aber; während";;;;;;;;;;;;;;;;;;;;
14;5;;新;xīn;new;nuovo;nouveau;nuevo;neu;;;;;;;;;;;;;;;;;;;;
14;6;;怎么;zěnme;how;come;comment;cómo;wie;;;;;;;;;;;;;;;;;;;;
14;7;;地;de;adverbial particle (–ly);particella avverbiale;particule adverbiale;partícula adverbial;Adverbialpartikel;;;;;;;;;;;;;;;;;;;;
14;1;Phrases;我快走了。;Wǒ kuài zǒu le.;I left quickly.;Sono partito velocemente.;Je suis parti rapidement.;Me fui rápidamente.;Ich bin schnell weggegangen.;;;;;;;;;;;;;;;;;;;;
14;2;;他快死了。;Tā kuài sǐ le.;He is about to die.;Lui sta per morire.;Il est sur le point de mourir.;Él está a punto de morir.;Er steht kurz davor zu sterben.;;;;;;;;;;;;;;;;;;;;
14;3;;我与他一起去。;Wǒ yǔ tā yīqǐ qù.;I go with him.;Vado con lui.;Je vais avec lui.;Voy con él.;Ich gehe mit ihm.;;;;;;;;;;;;;;;;;;;;
14;4;;他来而我不来。;Tā lái ér wǒ bú lái.;He comes but I don’t.;Il vient mais je ne viens pas.;Il vient mais je ne viens pas.;Él viene pero yo no vengo.;Er kommt, aber ich komme nicht.;;;;;;;;;;;;;;;;;;;;
14;5;;新年快乐!;Xīnnián kuàilè!;Happy New Year!;Buon Anno!;Joyeux Nouvel An!;¡Feliz Año Nuevo!;Frohes Neues Jahr!;;;;;;;;;;;;;;;;;;;;
14;6;;你怎么去？;Nǐ zěnme qù?;How do you go?;Come vai?;Comment y vas-tu?;¿Cómo vas?;Wie gehst du?;;;;;;;;;;;;;;;;;;;;
14;7;;快地走。;Kuài de zǒu.;Walk quickly.;Cammina velocemente.;Marche rapidement.;Camina rápidamente.;Gehe schnell.;;;;;;;;;;;;;;;;;;;;
